subject	fissure	mask	space	distances
sub-72	1	cerebellar_mask	suit	2.604362378607049
sub-73	1	cerebellar_mask	suit	3.0804449457107106
sub-74	1	cerebellar_mask	suit	3.234610851930419
sub-75	1	cerebellar_mask	suit	3.3096106174346223
sub-76	1	cerebellar_mask	suit	3.251971658456467
sub-77	1	cerebellar_mask	suit	3.02341680907578
sub-78	1	cerebellar_mask	suit	3.17487600926225
sub-79	1	cerebellar_mask	suit	3.6295974580664248
sub-80	1	cerebellar_mask	suit	4.302441945145138
sub-01	2	cerebellar_mask	DeCon	3.075967956879639
sub-02	2	cerebellar_mask	DeCon	3.5349526883998372
sub-03	2	cerebellar_mask	DeCon	4.81796051013849
sub-04	2	cerebellar_mask	DeCon	1.5159029277272946
sub-05	2	cerebellar_mask	DeCon	1.6555433648508204
sub-06	2	cerebellar_mask	DeCon	1.6545248504813612
sub-07	2	cerebellar_mask	DeCon	1.7344054126201245
sub-08	2	cerebellar_mask	DeCon	1.7244333629561936
sub-09	2	cerebellar_mask	DeCon	1.4955985303797312
sub-10	2	cerebellar_mask	DeCon	1.4471917035180166
sub-11	2	cerebellar_mask	DeCon	1.5918996592040138
sub-12	2	cerebellar_mask	DeCon	1.786376811814078
sub-13	2	cerebellar_mask	DeCon	1.957689655219712
sub-14	2	cerebellar_mask	DeCon	2.271763386494485
sub-15	2	cerebellar_mask	DeCon	1.5156140591519558
sub-16	2	cerebellar_mask	DeCon	2.052841814404106
sub-17	2	cerebellar_mask	DeCon	2.301548556589453
sub-18	2	cerebellar_mask	DeCon	3.09285516781973
sub-19	2	cerebellar_mask	DeCon	2.0285654426083135
sub-20	2	cerebellar_mask	DeCon	2.062943576722402
sub-21	2	cerebellar_mask	DeCon	1.717379125451067
sub-22	2	cerebellar_mask	DeCon	1.8419695845089046
sub-23	2	cerebellar_mask	DeCon	1.5235811911353803
sub-24	2	cerebellar_mask	DeCon	1.4606397027416018
sub-25	2	cerebellar_mask	DeCon	2.501952133346776
sub-26	2	cerebellar_mask	DeCon	2.281873326925379
sub-27	2	cerebellar_mask	DeCon	1.418075705389103
sub-28	2	cerebellar_mask	DeCon	2.170029333304226
sub-29	2	cerebellar_mask	DeCon	2.9412497219578957
sub-30	2	cerebellar_mask	DeCon	1.48863574645092
sub-31	2	cerebellar_mask	DeCon	1.4755038008544754
sub-32	2	cerebellar_mask	DeCon	1.800827297473267
sub-33	2	cerebellar_mask	DeCon	1.7886143537057864
sub-34	2	cerebellar_mask	DeCon	2.4389926199492145
sub-35	2	cerebellar_mask	DeCon	1.6093331192466853
sub-36	2	cerebellar_mask	DeCon	2.1920740324680423
